idx,opath,lineName,direction,t_flag,time,lng,lat,distance_of_gpspoint,gps_normalized_distance_length
BS00077D,63083.0,M2333,1.0,1,2019-01-04 06:28:06,113.906535788,22.7092095889,0.47951747300451,0.0114543416299744
BS04358D,63083.0,M2333,1.0,1,2019-01-04 06:28:22,113.906522558,22.7092198724,0.4777442151066879,0.0114119834201006
BS00077D,63083.0,M2333,1.0,1,2019-01-04 06:28:29,113.906414146,22.709312993,0.4773794460318495,0.0114032700992427
BS04358D,63083.0,M2333,1.0,1,2019-01-04 06:28:32,113.906454419,22.7092746086,0.4714474372582032,0.0112615708726856
BS00077D,63083.0,M2333,1.0,1,2019-01-04 06:28:36,113.906374762,22.7093505308,0.4831805652213333,0.0115418427368907
BS04358D,63083.0,M2333,1.0,1,2019-01-04 06:28:42,113.906368389,22.7093566048,0.484119264631937,0.0115642656606468
BS07977D,63083.0,M2333,1.0,1,2019-01-04 07:11:28,113.906407275,22.7093195418,0.4783915106291984,0.0114274455137005
BS06787D,63083.0,M2333,1.0,1,2019-01-04 07:11:32,113.906391284,22.709334783,0.4807469113045413,0.0114837094989142
BS07977D,63083.0,M2333,1.0,1,2019-01-04 07:11:38,113.906431418,22.7092965306,0.4748353387566518,0.011342498437074
BS06787D,63083.0,M2333,1.0,1,2019-01-04 07:11:42,113.906394563,22.7093316579,0.4802639417230941,0.0114721726959942
BS00406D,63083.0,M2333,1.0,1,2019-01-04 07:11:43,113.9063311,22.7093921455,0.4896117727986266,0.0116954664374454
BS00406D,63083.0,M2333,1.0,1,2019-01-04 07:11:46,113.906316452,22.7094061068,0.4917693653947745,0.011747005336622
BS07977D,63083.0,M2333,1.0,1,2019-01-04 07:11:48,113.906419394,22.7093079909,0.4766064260363307,0.0113848047969045
BS00406D,63083.0,M2333,1.0,1,2019-01-04 07:11:56,113.906315155,22.7094073427,0.4919603848446821,0.0117515682611459
BS07977D,63083.0,M2333,1.0,1,2019-01-04 07:11:58,113.906398063,22.7093283223,0.4797484307712545,0.0114598585700472
BS06787D,63083.0,M2333,1.0,1,2019-01-04 07:12:02,113.906392298,22.7093338163,0.4805975343105251,0.0114801412970917
BS07977D,63083.0,M2333,1.0,1,2019-01-04 07:12:08,113.906413507,22.7093136024,0.4774735965205827,0.0114055190931236
BS06787D,63083.0,M2333,1.0,1,2019-01-04 07:12:12,113.906386239,22.7093395918,0.4814900446711987,0.011501460892633
BS06787D,63083.0,M2333,1.0,1,2019-01-04 07:12:19,113.906349135,22.7093749564,0.4869553214177036,0.0116320111863784
BS06787D,63083.0,M2333,1.0,1,2019-01-04 07:12:22,113.906279065,22.7094417407,0.4972762913032466,0.0118785505132584
BS06787D,63083.0,M2333,1.0,1,2019-01-04 07:12:32,113.905663259,22.7100274722,0.5878864082541999,0.0140429747378547
BS06787D,63083.0,M2333,1.0,1,2019-01-04 07:12:42,113.905268099,22.7104074905,0.6622501045962979,0.0158193170626359
BS01841D,50449.0,M2333,1.0,1,2019-01-04 07:45:56,113.935549461,22.6831200094,7.950069780291547,0.1899051033010826
BS06103D,50449.0,M2333,1.0,1,2019-01-04 07:46:03,113.935166285,22.6831423671,7.91060541535177,0.1889624091477333
BS01841D,50449.0,M2333,1.0,1,2019-01-04 07:46:34,113.935661522,22.6831122673,7.961617073314493,0.1901809360843125
BS01841D,50449.0,M2333,1.0,1,2019-01-04 07:46:36,113.935747609,22.6831062154,7.970488742369144,0.1903928556365728
BS06103D,50449.0,M2333,1.0,1,2019-01-04 07:46:43,113.935368143,22.6831325363,7.931372457740633,0.1894584761558357
BS01841D,50449.0,M2333,1.0,1,2019-01-04 07:46:56,113.936174149,22.6830596901,8.014622141805857,0.1914470800661286
BS06103D,50449.0,M2333,1.0,1,2019-01-04 07:47:03,113.935590574,22.683117169,7.954306257085521,0.1900063009742384
BS01841D,50449.0,M2333,1.0,1,2019-01-04 07:47:06,113.936480055,22.6830263231,8.04627357087518,0.1922031448646964
BS06103D,50449.0,M2333,1.0,1,2019-01-04 07:47:31,113.935666112,22.6831119502,7.962090048413811,0.1901922341467921
BS06103D,50449.0,M2333,1.0,1,2019-01-04 07:47:33,113.935766801,22.6831041221,7.972472769829334,0.1904402485463449
BS00077D,55737.0,M2333,1.0,1,2019-01-04 07:48:06,114.0225686,22.6580682,18.9680407187028,0.4530938509538841
BS01899D,55739.0,M2333,1.0,1,2019-01-04 07:48:07,114.02348753,22.6569930675,19.12001234063056,0.456724031236398
BS01841D,85736.0,M2333,1.0,1,2019-01-04 07:48:15,113.937034122,22.6829891538,8.103472744032173,0.1935694743671171
BS00077D,55739.0,M2333,1.0,1,2019-01-04 07:48:16,114.023126629,22.6574153155,19.060326885154115,0.4552983113495205
BS00077D,55739.0,M2333,1.0,1,2019-01-04 07:48:16,114.023163457,22.6573722269,19.066417501484047,0.4554437992704152
BS01841D,85736.0,M2333,1.0,1,2019-01-04 07:48:16,113.937102739,22.6829902422,8.110524883312577,0.1937379304027935
BS01899D,55739.0,M2333,1.0,1,2019-01-04 07:48:17,114.023669393,22.6567802903,19.150088744210475,0.4574424730471766
BS06103D,85736.0,M2333,1.0,1,2019-01-04 07:48:21,113.937049196,22.6829893929,8.105021980335994,0.1936064813228352
BS06103D,85736.0,M2333,1.0,1,2019-01-04 07:48:23,113.937199456,22.6829949114,8.120478839897022,0.1939757028004786
BS00077D,55739.0,M2333,1.0,1,2019-01-04 07:48:26,114.023325296,22.657182878,19.0931822753515,0.4560831354380962
BS01841D,85736.0,M2333,1.0,1,2019-01-04 07:48:26,113.937806099,22.6830503518,8.183142871904192,0.1954725726142612
BS01841D,85736.0,M2333,1.0,1,2019-01-04 07:48:33,113.938186441,22.6831108515,8.222818027352297,0.1964203019678497
BS06103D,85736.0,M2333,1.0,1,2019-01-04 07:48:33,113.937819206,22.6830524366,8.184507715199626,0.195505174932753
BS01841D,85736.0,M2333,1.0,1,2019-01-04 07:48:36,113.938353992,22.6831375034,8.240286748766191,0.1968375812416578
BS01899D,55739.0,M2333,1.0,1,2019-01-04 07:48:37,114.023886748,22.6565259882,19.18603479649915,0.4583011244756295
BS06103D,85736.0,M2333,1.0,1,2019-01-04 07:48:41,113.938199547,22.6831129364,8.22418445066792,0.1964529420286388
BS06103D,85736.0,M2333,1.0,1,2019-01-04 07:48:43,113.938215021,22.6831153978,8.225797756388626,0.196491479424915
BS00077D,55739.0,M2333,1.0,1,2019-01-04 07:48:46,114.023562587,22.6569052514,19.13242526285884,0.4570205414989713
BS01841D,85736.0,M2333,1.0,1,2019-01-04 07:48:46,113.938400118,22.6831448406,8.245095805879036,0.1969524562695549
BS01899D,55739.0,M2333,1.0,1,2019-01-04 07:48:47,114.023945486,22.6564572668,19.195748756904152,0.4585331640306467
BS01899D,55739.0,M2333,1.0,1,2019-01-04 07:48:51,114.024087542,22.6562910636,19.21924190215605,0.4590943500704207
BS01899D,55739.0,M2333,1.0,1,2019-01-04 07:48:57,114.024351935,22.6559817279,19.262967121326383,0.4601388242062314
BS06103D,85736.0,M2333,1.0,1,2019-01-04 07:49:03,113.938411745,22.6831466901,8.246308027032558,0.1969814128686472
BS00077D,55739.0,M2333,1.0,1,2019-01-04 07:49:06,114.023705191,22.6567384077,19.156008950844807,0.4575838903533799
BS01841D,56359.0,M2333,1.0,1,2019-01-04 07:49:06,113.938812004,22.6832103457,8.288038431145917,0.1979782364089373
BS01899D,15544.0,M2333,1.0,1,2019-01-04 07:49:07,114.0249153,22.6553226,19.3561363109573,0.4623643775749829
BS01899D,67562.0,M2333,1.0,1,2019-01-04 07:49:12,114.025031423,22.6551838904,19.375589056575077,0.4628290496807788
BS06103D,56359.0,M2333,1.0,1,2019-01-04 07:49:13,113.938718567,22.6831954875,8.278296861931029,0.1977455373560743
BS00077D,55739.0,M2333,1.0,1,2019-01-04 07:49:16,114.024032573,22.6563553763,19.210151168570118,0.4588771976744757
BS01841D,56180.0,M2333,1.0,1,2019-01-04 07:49:16,113.939703882,22.6833521687,8.381023897226395,0.2001994011319549
BS00077D,55739.0,M2333,1.0,1,2019-01-04 07:49:17,114.024075448,22.656305213,19.217241835678468,0.459046574033036
BS01899D,67562.0,M2333,1.0,1,2019-01-04 07:49:17,114.025162168,22.6550264484,19.397601836562348,0.4633548739028241
BS06103D,56359.0,M2333,1.0,1,2019-01-04 07:49:23,113.939195306,22.6832712983,8.328000789815222,0.1989328262504079
BS00077D,55739.0,M2333,1.0,1,2019-01-04 07:49:26,114.024601103,22.6556902058,19.304174418266687,0.4611231521679313
BS01841D,56180.0,M2333,1.0,1,2019-01-04 07:49:26,113.940513654,22.6834790237,8.465414283465687,0.2022152532514068
BS01899D,67562.0,M2333,1.0,1,2019-01-04 07:49:27,114.025411169,22.6547266029,19.43952477756986,0.4643562966151698
